item_name,item_category,item_detail_url,item_price,item_store,item_create_date,item_thumb_upvotes,item_n_comments
"United℠ Business Card: Earn 100,000 Bonus Miles After You Spend $5,000 in the First 3 Months",finance,https://slickdeals.net/f/17256340-united-business-card-earn-100-000-bonus-miles-after-you-spend-5-000-in-the-first-3-months,,Chase - Bank Advertiser ,2024-01-25,0,0
"Marcus Bank (Goldman Sachs) 14month Fixed Rate CD 5.4% APY, $500 minimum to open",finance,https://slickdeals.net/f/17248501-marcus-bank-goldman-sachs-14month-fixed-rate-cd-5-4-apy-500-minimum-to-open,,Marcus Banking - Bank Advertiser ,2024-01-22,2,15
"Select Amex Cardholders: Pay $50+ Spectrum Cable, Internet, Phone, Wireless Bill",finance,https://slickdeals.net/f/17242555-amex-offers-spectrum-cable-internet-telephone-or-wireless-spend-50-get-50-back-ymmv-expires-3-31-2024,,Amex Offers ,2024-01-19,56,98
"Amazon: Select Citi Cardholders: Add Citi Card, Make Purchase $10.01+",finance,https://slickdeals.net/f/17240665-amazon-select-citi-cardholders-add-citi-card-make-purchase-10-01-10-off-valid-for-select-accounts,,Amazon ,2024-01-24,116,103
Select Amex Cardholders: Pay Wireless US Service Bill & Get,finance,https://slickdeals.net/f/17238061-ymmv-amex-offer-10-back-wireless-phone-bill-max-30,,Amex Offers ,2024-01-18,31,48
$50 Adidas Gift Card + $15 Adidas Promotional Card (Email Delivery) $50,finance,https://slickdeals.net/f/17235898-50-adidas-gift-card-15-adidas-promotional-card-email-delivery-50,50,Newegg ,2024-01-16,4,3
"Select Chase Cardholders: Make a Purchase at Target, Get",finance,https://slickdeals.net/f/17231584-chase-offers-10-back-at-target-up-to-12-targeted-promotion-ymmv,,Chase - Bank Advertiser ,2024-01-15,75,95
"New for Select Amex Cardholders: Pay your cable or Internet bill, Get $5 back, up to 4 times (up to $20) - YMMV",finance,https://slickdeals.net/f/17230981-new-for-select-amex-cardholders-pay-your-cable-or-internet-bill-get-5-back-up-to-4-times-up-to-20-ymmv,,American Express Giftcards ,2024-01-13,4,7
Chase Total Checking®: Earn $300 When You Open a New Account With Qualifying Activities,finance,https://slickdeals.net/f/17230408-chase-total-checking-earn-300-when-you-open-a-new-account-with-qualifying-activities,,,2024-01-12,1,0
Chase Offers: 10% back at IKEA (up to $27) Targeted Promotion... YMMV,finance,https://slickdeals.net/f/17228158-chase-offers-10-back-at-ikea-up-to-27-targeted-promotion-ymmv,,Chase - Bank Advertiser ,2024-01-11,10,9
"Select Amex Cardholders: Pay Insurance Bill, Get",finance,https://slickdeals.net/f/17224816-amex-offers-insurance-bill-save-10-up-to-20-ymmv,,,2024-01-10,56,65
YMMV Bank of America (BOA) credit card offer - 10% cash back on Walmart.com purchases up to $10 (Exp. 1/31/24),finance,https://slickdeals.net/f/17224039-ymmv-bank-of-america-boa-credit-card-offer-10-cash-back-on-walmart-com-purchases-up-to-10-exp-1-31-24,,Bank of America Banking - Bank Advertiser ,2024-01-09,0,0
U.S. BANK CASH+® VISA SIGNATURE® CARD 5% cash back plus a bonus that has increased from$150 to a$200 bonus,finance,https://slickdeals.net/f/17221864-u-s-bank-cash-visa-signature-card-5-cash-back-plus-a-bonus-that-has-increased-from-150-to-a-200-bonus,,U.S. Bank - Bank Advertiser ,2024-01-08,3,9
"Select Chase Cardholders: Make a Purchase at Walmart, Get",finance,https://slickdeals.net/f/17219980-chase-offers-ymmv-15-back-on-walmart-com-upto-15,,Chase - Bank Advertiser ,2024-01-07,141,132
"(YMMV) - AMEX Send $30+ to Venmo or PayPal users with your Amex Send Account, get $10 back",finance,https://slickdeals.net/f/17219932-ymmv-amex-send-30-to-venmo-or-paypal-users-with-your-amex-send-account-get-10-back,,American Express Giftcards ,2024-01-07,1,0
Synchrony Bank 5.5% APY CD 15 Months,finance,https://slickdeals.net/f/17215000-synchrony-bank-5-5-apy-cd-15-months,,,2024-01-04,6,15
Chase Business Complete Banking®: Earn $400 When You Open A New Account with Qualifying Activities,finance,https://slickdeals.net/f/17214697-chase-business-complete-banking-earn-400-when-you-open-a-new-account-with-qualifying-activities,,,2024-01-04,12,23
"Citi AAdvantage Platinum Select World Elite Mastercard - up to $400 Statement Credit + 30,000 bonus miles.  Annual Fee waived for first year, $99 after.",finance,https://slickdeals.net/f/17214541-citi-aadvantage-platinum-select-world-elite-mastercard-up-to-400-statement-credit-30-000-bonus-miles-annual-fee-waived-for-first-year-99-after,,American Airlines ,2024-01-04,0,1
Arizona Financial Credit Union Free Checking with $200 Bonus - AZ Residents Only,finance,https://slickdeals.net/f/17211991-arizona-financial-credit-union-free-checking-with-200-bonus-az-residents-only,,,2024-01-03,1,2
EverBank 9 month CD 5.50% Interest Rates | FDIC-insured national banking,finance,https://slickdeals.net/f/17207170-everbank-9-month-cd-5-50-interest-rates-fdic-insured-national-banking,,,2024-01-01,2,4
"Limited-time deal: TurboTax Home & Business 2023 Tax Software, Federal & State Tax Return [Amazon Exclusive] [PC/MAC Disc] $75.99",finance,https://slickdeals.net/f/17195062-limited-time-deal-turbotax-home-business-2023-tax-software-federal-state-tax-return-amazon-exclusive-pc-mac-disc-75-99,75.99,Amazon ,2023-12-27,13,11
